title,date,author,text
"Amazon Prime Video now allows in-app rentals and purchases on the iPhone, iPad, and Apple TV","
          Apr  1, 2020,  3:22pm EDT
        ",Nick Statt,"Amazon’s Prime Video iOS and Apple TV apps now let customers make in-app purchases, including renting and buying films and TV shows. The change marks a huge shift in Amazon’s approach to the App Store, which mandates a 30 percent cut on all in-app purchases. ,Prior to the change, Amazon would not allow you to rent or buy content on the Prime Video app, instead, directing users to a web browser to avoid the App Store fee. You could still sign up for a Prime Video subscription through the iOS app if you are not an Amazon Prime subscriber, but even then, you could not make individual content purchases from within the app. ,Now, when users log in to the Prime Video app, there should be a message reading, “Browse, rent, or buy new release movies, popular TV shows, and more — now within the app.” (Big thanks to George Watson, who tipped us off to this change.) ,The prices do not appear to have been raised to account for the 30 percent fee, as ,. It was not immediately clear whether Amazon reached a deal with Apple or whether it is indeed deciding to pay the full cut. But Apple has since confirmed that it entered Amazon Prime Video into an established program for “premium” video providers. ,“Apple has an established program for premium subscription video entertainment providers to offer a variety of customer benefits — including integration with the Apple TV app, AirPlay 2 support, tvOS apps, universal search, Siri support and, where applicable, single or zero sign-on,” Apple said in a statement given to ,. “On qualifying premium video entertainment apps such as Prime Video, Atlice One and Canal+, customers have the option to buy or rent movies and TV shows using the payment method tied to their existing video subscription.” ,Amazon did not respond to a request for comment. ,In the new Prime Video app, which does not require an update, there’s now a full-blown store tab at the bottom. It features lists of popular and new movies to buy or rent, including many of the recently released films like ,and , that were in theaters in February and March but ,. ,According to user reports and Apple’s statement, Amazon is processing purchases using its own stored payment methods and through its own processor so long as a user has an Amazon account with that information on file. That’s a notable change in how all forms of in-app purchases have been handled before. ,Typically, Apple takes its 30 percent fee and handles all payment, processing, and security upfront — Apple takes only 15 percent from subscriptions so long as a customers signed up for the services within the iOS app and has maintained it for more than a year. ,According to app developer Guilherme Rambo, the Prime Video app began using a special request related to payment processing that first suggested an arrangement between Amazon and Apple, prior to Apple confirming the new program.,According to ,’s Mark Gurman, the deal struck between Amazon and Apple is not a wholly unique one; it’s been in place for some time although it is unclear when it was started. The program allows a company to use its own payment methods, Gurman says, and it’s already in use by apps from more niche premium video providers like Altice One and Canal+. ,Gurman, in a , published after the change, later explained that the program also extends to supporting a number of Apple apps, services, and features — including the “Apple TV app, AirPlay 2 support, tvOS apps, universal search, Siri support and, where applicable, single or zero sign-on,” according to Apple’s statement.,Regardless of how long this program has existed and the exact terms of the deal that was struck between the two companies, the change should remove a long-lasting headache to buying and renting movies and shows through Amazon’s app and on Apple TV. ,Bloomberg"
"Quibi’s shows are fun, familiar, and a little forgettable","
          Apr  6, 2020,  8:42am EDT
        ",Joshua Rivera,"It’s far too easy to make fun of Quibi. That’s the first problem. You can start with the name: an overly cute mashup of “quick bites.” It’s easy to say but difficult to attach meaning to — hence a bizarre , dedicated to explaining it. It’s Netflix, but only for your phone and mostly for those idle moments that are long enough to be felt, yet brief enough that you wouldn’t turn to anything but your phone. You know: waiting in lines, pausing to sip a coffee, sitting in a car while someone runs into a store to grab something. That’s Quibi’s second problem: it was created for a world that doesn’t really exist anymore, one put on hold by a pandemic. ,This makes Quibi a harder sell. TV to watch while you’re doing something else doesn’t seem very appealing when no one really has anything going on. However, the contrary can , be true: we’re all staring at our phones anyway, so what’s another reason to do it some more? As of today, there are 24 reasons, each Quibi show delivered in installments of 10 minutes or less, each launch show with the first three episodes ready to stream. There are 72 snacks in search of a meal.,The content — normally a crass word for art but an apt one for Quibi — runs the gamut, with no real ethos beyond putting recognizable faces in front of consumers in a way many haven’t really seen before. There’s a , revival starring Chance the Rapper, a series called , where Offset is really into cars and car stunts, a remake of ,starring Liam Hemsworth, and ,, a truly bizarre show where Will Arnett stands in a studio and tells you about cringey moments in pop culture in less time than it takes to watch the YouTube clip yourself. ,(,The Verg,Polygon,Verge,.),Quibi shows are designed to play equally well no matter how you hold your phone; almost every one is shot in a way that works in both landscape and vertical orientations. I checked this, incessantly, with every show I watched. There’s something mind-boggling about it, the way Quibi tries to have things literally both ways. It works well enough, but there are strange side effects. In scripted shows, the dual-composition means there can only really be one important thing in a shot at a time, and that can make a serious drama feel shallow. In unscripted shows, this adds a layer of uncanniness, as slick network production clashes with a visual composition that’s thoroughly associated with influencers and lo-fi meme makers. You can, ironically, gauge how good a Quibi show is by how well it plays in vertical orientation. ,The majority of Quibi’s programming is the sort of stuff you can find on regular TV, just broken up into smaller pieces. , is a reality show in the vein of , in seven-minute chunks. , , feels like a USA drama, delivered one plot development at a time. , actually , a TV show long before Quibi, but someone figured it might play better if you didn’t have to spend 30 minutes with it. (They were right.) ,Quibi’s best shows are the ones that feel most like they could only happen on Quibi. There’s not a lot of that in the launch lineup, but perhaps the best example is ,, a ,-style courtroom show in which Chrissy Teigen is a courtroom judge mediating exclusively petty disputes, like who got someone a better Lizzo-themed sweater. It’s the perfect Quibi show — like a TikTok that got a little out of hand, but it ends just before it stops being funny. ,Another, ,, features comedians Matt Rogers and Dave Mizzoni as hosts in a competition. In every episode, two different straight men will compete to see who is the better queer ally. Again, it’s a bit that’s perfectly pitched for the platform. It’s savvy and effective, with stunts loud enough to hold your attention and talent deft enough to keep it. (It also might be the most genuinely funny show on Quibi so far.),Documentaries also fare pretty well on Quibi. The standout is ,, about LeBron James’ I Promise School in Akron, Ohio, which serves at-risk children with an approach that’s equal parts social work and education. Compelling, frank, and moving, each eight-minute installment absolutely flies by. ,Still, there’s a frivolousness to Quibi that none of its programming can seem to shake because the platform was built for frivolity. I could put on a Quibi show and keep up with it just fine while writing a grocery list, chopping garlic, or brushing my teeth and only glancing at it. Once, I almost put on a Quibi show while watching something else on my TV. ,For this reason, Quibi’s best point of comparison is podcasts, not streaming TV. It’s a medium for filling space that you probably already had filled with something else, but for some reason, you got it in your head that you should be , something in that time. It exists in a nebulous space between the steady dopamine rush of TikTok’s constant supply of novelty and the chill, lackadaisical time-sink of Twitch. Boredom is the constant, and it’s most often resolved by habit. This then, is the platform’s biggest ask: can you change your habits to accommodate it?,Because Quibi is designed to be habitual. New episodes are scheduled to drop every day, and new shows will premiere “every single Monday,” per Quibi. It’s a steady stream of quick bites coming from an endless bag of treats. Even in a world shut down by circumstance, Quibi is an interesting idea, one that wants us to use our phones the way we already do, like fidget spinners with Wi-Fi or a smoke break we can take anywhere. But that’s the third problem: no one remembers a snack. They remember a really good dinner. "
"New trailers: Snowpiercer, Normal People, The Innocence Files, and more","
          Apr  4, 2020, 10:00am EDT
        ",Jacob Kastrenakes,"One of the few small upsides to the current global mess is that a bunch of movies are hitting streaming services and rental platforms earlier than they otherwise would have: ,, ,, and , are on that list, among many others. ,Another that’s now streaming early on Hulu is ,, which I caught last weekend. It’s a wonderful movie about two women slowly growing closer together over the course of about a week that they’re forced to spend together.,The movie revolves around painting, as the title suggests, but the film also does some really fascinating things with music. There are three moments in the movie where music plays, and in all three cases, you don’t see its origin (a piano, singers, an orchestra) until well after the music begins, if at all. It creates a very strange, untethered feeling. Is this sound really happening, or is it part of the score? There’s tension to simply figuring it out, and it adds an important, off-kilter element to a few particularly crucial scenes.,Check out nine trailers from this week below.,TNT is turning , into a TV series, and so far it looks like it’ll be every bit as vibrant and violent as the movie adaptation. I’m hopeful it can take things even further, too — the movie speeds through so much of the train’s ritzier cars, leaving plenty more of this extravagant and divided world for the show to explore. The show debuts May 17th.,Hulu has an adaptation of Sally Rooney’s novel , coming up. It looks quiet and lovely and a little more like a movie than a TV series, for whatever that distinction is worth. The show debuts April 29th.,Netflix has produced more than its fair share of true crime shows, so it’s nice to see it presenting a different perspective of the justice system with ,, which highlights eight people who were wrongfully convicted and the lengths it takes to get them out. The series comes out April 15th.,After getting good reviews out of Sundance, this very stylish-looking high school drama about cliques, drugs, and the difficulties of being a teenager is heading to Amazon. It debuts April 17th.,While this show still very much holds to the rule that every Quibi series must sound like a fake show inside of ,, , is admittedly a great idea. It launches alongside Quibi on April 6th.,Lena Waithe is executive producing this series about sneakerheads and sneaker culture for Quibi. It’s one of the few Quibi series without an entirely ridiculous premise, and it looks like it could simply be a legitimately interesting show.,This is purely a cheesy kids’ title adapted from a kids’ book, but the movie is narrated by Meryl Streep and its animation is downright charming. It comes to Apple TV Plus on April 17th.,The director behind , is back with a sequel to the well-reviewed 2016 zombie film. It looks flashy, action packed, and a little more like , than a traditional zombie movie. There doesn’t appear to be a US release date just yet.,The Quibi trailers are in full swing this week with the service ready to launch on Monday. One of the more promising series is ,, a horror anthology executive produced by Sam Raimi that’s supposed to cover urban legends across the US. "
Tales from the Loop turns small-town America into a sci-fi feelings machine,"
          Apr  6, 2020, 10:50am EDT
        ",Joshua Rivera,"is so pretty it breaks your heart. Based on the work of Swedish artist Simon Stålenhag, famous for his scenes of pastoral tranquility draped around uncanny sci-fi sights, ,’s newest drama is a collection of eight short stories where everyday rural life is tinged with the supernatural. But unlike, say, ,, where the otherworldly takes center stage, , uses it as an excuse to dig deeper into the people who must continue to live mundane lives, even as the extraordinary looms just inches away. ,While , features a recurring cast of characters and overlapping plots, each episode functions as a standalone short story. Since critics were sent three out-of-order episodes for review, it’s safe to assume that continuity isn’t really a concern for the show; just consider it , with every episode set in the same town. ,And what a town it is! The series takes place in a fictional Ohio neighborhood built above The Loop, a machine built to “explore the mysteries of the universe.” The Loop is massive, and, while it employs most of the residents who live above it, few know the full extent of what goes on within its confines. All they know is that the work done there has changed the texture of their lives. Some of these changes are overt and intentional, like advances in technology that make robotic limbs, hovering tractors, and walking mechs commonplace. ,Other phenomena are less intentional: strange, inexplicable sightings; objects that appear out of thin air; fluctuations in space and time. In the ecosystem of this small Midwestern town, The Loop is an invasive exotic, reshaping the balance of life and nature around it. And everyone there has to just roll with it because they have no choice. Besides, sometimes The Loop has its benefits. ,In the episodes provided in advance, a girl’s mother disappears and leaves behind a strange artifact in “Loop,” a boy hears voices coming from a strange globe in “Echo Sphere,” and in “Parallel,” a man stumbles into another universe. What follows each is a tender drama that feels like a play, each devoted mostly to loneliness. ,Each character, at least in the episodes screened, yearns for connection. While “Loop” is set in motion by a disappearance, it’s really about distance, as the girl’s search for her missing parent serves as a window into how they became strangers to each other. “Parallel” shows a man meeting himself in another universe, but it chooses character drama over genre thrills as the two versions of the same man attempt to befriend one another. Over and over, , gestures at some inarticulate sadness and shows its characters trying to work through it. ,It’s not that big of a stretch from Stålenhag’s art, which is overwhelmingly melancholic in the way it juxtaposes the mundane and the fantastic. Transposed from its original Swedish context to an American one, that sorrow takes on new wrinkles. The Loop puts boundless potential literally within arm’s length of small-town Ohio, and yet, its denizens lead more or less the same lives they’d live without it. People still work in what seem like dead-end jobs, they have trouble tilling their fields, they don’t see their families enough. Through the eyes of a set of acclaimed directors — Ti West, Charlie McDowell, So Yong Kim, and Mark Romanek each helm an episode — every moment feels delicate and human, and despair never overwhelms wonder. ,is an understated work in a time when more muted stories are easily swallowed up in the wealth of available options. It’s worth making the time for, though. These are slow stories about how technology was never going to fix us no matter how promising it seems. We still have to go the slow route and try to fill the void in ourselves by reaching out to others. "
"CBS courtroom drama will use Zoom, FaceTime for special pandemic episode","
          Apr  6, 2020,  4:06pm EDT
        ",Kim Lyons,"CBS drama series , will produce a “virtual” episode themed on the COVID-19 pandemic, shooting footage in the actors’ homes and using VFX to create backgrounds. It’s the first episode of a primetime scripted series to be produced while practicing social distancing by using remote programs like FaceTime, WebEx, and Zoom.,The episode of the freshman courthouse drama based in Los Angeles will feature the characters dealing with the effects of the COVID-19 shelter-in-place rules, and how the coronavirus pandemic affects the criminal justice system there. ,“It’s a unique chance for our , family to band together – in our different homes, even cities – to tell a story about resilience, justice and the power of community,” executive producer Greg Spottiswood said in a statement.,A quick preview of the episode: Judge Benner (Marg Helgenberger) authorizes Judge Lola Carmichael (Simone Missick) to preside over a virtual bench trial while various other members of the main cast try to keep their relationships alive while under quarantine. One character will deal with the struggle of taking on a side hustle as a food delivery driver. ,Consulting producer Gil Garcetti, a former Los Angeles County district attorney, will “provide insight into how the justice system continues in Los Angeles, even during the pandemic,” according to a release from CBS.,In addition to filming the actors in their homes, a cinematographer will shoot (from a vehicle) footage of the deserted streets in and around Los Angeles. Executive producer Michael Robin will direct the episode, which is currently being written and will air on May 4th at 9PM ET on CBS.,	 ,	 , "
The Office celebrates a work life that doesn’t exist anymore,"
          Apr  7, 2020, 12:23pm EDT
        ",Julia Alexander,"The scenes that make ,special aren’t overly zany but are extremely relatable, like Dwight Schrute making an obnoxious sales call at his desk, while Jim and Pam roll their eyes at their colleague’s behavior. It happens almost every episode: two people, the stand-ins for the audience, acknowledging just how annoying the workplace is. ,is a show about the random, boring bits of everyday work life and the comedy that ensues from being surrounded by the same people on a daily basis. Employees sit at their desks, jokes are made, and snacks are munched on. Fifteen years later, it’s still one of the most enduring sitcoms because ,is an extraordinarily ordinary depiction of modern working life in America — well, it was. ,How jobs look has shifted radically over the last decade. The coronavirus pandemic simply sped up the circumstances for many industries. The gig economy is one of the biggest notable transitions. Uber, Lyft, Fiverr, Amazon Flex, and Airbnb didn’t exist 15 years ago when , premiered. Now, there are more than 55 million gig economy workers in the United States, , That’s more than 55 million people who don’t go into an office every day and share a kitchen with co-workers. Their idea of day-to-day work is already different from what ,presented. ,Before the pandemic forced us inside, ,was relatable. How does a workplace comedy operate without a workplace? Today, it feels like a piece of popular culture from eras past. Social distancing measures mean more people are working from home. Gags have shifted from pranking your deskmate to creating weird glitch art on Zoom using random anime backgrounds; hijinks in the shared kitchen turned into creating new Slack emoji to deliver a joke faster. ,Even those who aren’t in gig economy jobs are facing a time when physical offices aren’t necessary for most companies. Instant communication tools like Slack make talking with co-workers possible from anywhere, remote work is easy to do with an assortment of productivity services. Michael Scott’s outbursts in ,don’t transition well to Slack, where the equivalent is a message typed out in all-caps. That’s not as funny. ,Videoconferencing has also never been easier. Services like Zoom allow remote workers to talk face-to-face, all from the safety and comfort of their own homes. In December 2019, Zoom saw heights of 10 million daily users — by March 2020, Zoom was hitting “more than 200 million daily meeting participants, both free and paid,” ,“We did not design the product with the foresight that, in a matter of weeks, every person in the world would suddenly be working, studying, and socializing from home,” Yuan wrote. ,Companies have transitioned quickly from operating in physical spaces to moving everything online. Zoom is hitting record-breaking numbers, as is Microsoft Teams, a group chat and collaboration tool from Microsoft that rivals Slack. Slack is no different. CEO Stewart Butterfield shared numbers in a lengthy tweet thread, noting that on Tuesday, March 10th, Slack’s concurrent users passed 10 million. That number jumped to 10.5 million just six days later, reaching 12.5 million on March 25th. ,“We have an incredible business that has been growing very quickly and that will continue to do so for many, many years to come,” Butterfield told Slack employees, as seen in ,. “We provide a platform that is going to become even more useful to the world in the years to come.” ,This pandemic will forever change parts of our lives, much like the 1918 influenza did more than 100 years ago. A big part of that will be the physicality of work. “The age of the office as we know it is probably over, and the bell can’t be unrung,” Matt Burr, CEO at Nomadic Learning, ,. More employees, once ready to commute into an office every day, will use tools like Slack and Zoom to work from home more often, according to Burr. Companies will see less of a reason to have physical space and will use remote advantages to build teams in different cities. ,Work has changed, and television will follow. Pop culture has always reflected our lives at a certain moment in time. Similar to how we revisit ,or ,to scratch the nostalgic itch for times when families were corny and homely or marathoning shows like ,and ,to reminisce about a time when people actually hung out, ,yearns for simpler times. Actress Angela Kinsey (who played Angela Martin on the show) described the series as inexplicably comforting. That comfort comes from the normalcy of a work routine — something I’ve come to miss in the weeks I’ve been at home. ,Less than 20 years ago, people worked in offices. Now, many of us work from home. Ben Silverman and Paul Lieberstein, co-producers on ,, are developing a new workplace comedy, but this one won’t include characters like Dwight and Jim throwing pencils at each other over their computers. Instead, the show is about a “wunderkind boss who, in an effort to ensure his staff’s connectedness and productivity, asks them all to virtually interact and work face-to-face all day,” , ,We’ve walked toward this change in work culture for years, but now it’s here for millions of people. The pandemic didn’t suddenly flip a switch; it proved that people can — and will — work without an office. Last year, the US Bureau of Labor Statistics reported that 26 million Americans, or approximately 16 percent of the total workforce, work from home. Imagine if half of ,’s cast suddenly stopped showing up because they could conduct calls at home and check in with co-workers online. Between 2005 and 2015, employees who telecommuted rose by 115 percent, the bureau reported.,Those years also happen to represent ,s run. As ,went off the air, so did the idea that day-to-day work would look the same as it did in 2005. More than 55 million people are gig workers who don’t have offices to go to, more people are set to work from home than ever, and an entire generation of employees may not experience that type of work setting — one considered universal less than 20 years ago. That’s the future pop culture will incorporate. There’s something poetic about ,’s co-producers being some of the first to try. ,“Start with the office comedy, lose the office and you’re just left with comedy,” co-producer Lieberstein told ,. “The math works.” ,In the meantime, many of us are at home, so lonely that we are wistfully streaming old episodes of ,, longing for the Dwight Schrutes in our lives, wishing they could do something annoying enough that we could turn to another colleague for just a moment and roll our eyes."
"Oscars 2020: Parasite sweeps, while Netflix loses out on pretty much everything","
          Feb  9, 2020, 11:28pm EST
        ",Julia Alexander,"Netflix headed into the , — the most of any studio —  expecting to dominate award season’s biggest night the same way it’s dominated the entertainment industry. Instead, Netflix walked away with practically zilch. ,The streamer made out with just two awards: Best Documentary for ,(produced by President Barack and Michelle Obama’s production company) and ,. Its biggest films — ,and ,— all went home empty-handed. ,Only just a week prior, Netflix’s studio chief Ted Sarandos rebuked claims that its lack of awards at previous award shows is part of a “backlash to a tech giant that is upending entertainment-industry business practices and threatening Hollywood power hierarchies,” as ,.,“A pushback? Nobody can say that with a straight face,” Sarandos said. “We got 24 nominations, the most of any studio. Our films have been honored across the board.” ,Netflix’s Oscar push has been aggressive. Some industry competitors have estimated that Netflix spent approximately $70 million on its Oscars campaign — much higher than what most studios spend. Netflix hasn’t shied away from its Oscar ambitions, but the company is trying to increase its film output and become a full-fledged studio in 2020. ,Award show prestige is important to the company — especially when it comes to drawing in the best talent, like Martin Scorsese. Netflix has proven over the last few years that it can secure the nominations, and even win from time-to-time, but getting the big wins are still a struggle. It’s clear that while Netflix moved from the kids’ table to sit with the adults, it’s still the odd one out right now.,Netflix’s night may not have gone as planned, but ,director Bong Joon-ho’s did. The director and his team walked away with a number of major awards, including Best Picture, Best Screenplay, Best International Feature Film, and Best Director. Bong used his time on stage to praise his fellow director nominees, including Martin Scorsese, who received a standing ovation during Bong’s speech. How’s he planning on celebrating his historic win? ,“I’m ready to drink tonight,” he joked onstage. ,It was a beautiful moment during an otherwise pretty standard show. Not even CEO Bob Iger could hide his ,! Brad Pitt, Taika Waititi, Renée Zellweger, and Dern continued their season of award winnings, taking home respective prizes for Best Supporting Actor, Best Adapted Screenplay, Best Actress, and Best Supporting Actress. ,and ,both took home multiple awards for achieving excellence in technical categories like Best Editing and Best Sound Mixing. Elton John won the prize for Best Original Song for his work on ,Perhaps the biggest upset? ,which earned the most nominations for any individual movie, only secured two awards: Best Actor for Joaquin Phoenix and Best Original Score for Hildur Guðnadóttir. Although, depending on who you ask, maybe it’s not a total upset after all.,The full list of Oscar winners can be read below. ,Antonio Banderas, ,Leonardo DiCaprio, ,Adam Driver, ,Jonathan Pryce, ,Cynthia Erivo, ,Scarlett Johansson, ,Saoirse Ronan, ,Charlize Theron, ,Tom Hanks, ,Anthony Hopkins, ,Al Pacino, ,Joe Pesci, ,Kathy Bates, ,Scarlett Johannson, ,Florence Pugh,,Margot Robbie, ,Martin Scorsese, ,Todd Phillips, ,Sam Mendes, ,Quentin Tarantino, ,, Daria Kashcheeva, Rosana Sullivan,, Bruno Collet,, Siqi Song,, Steven Zaillian,, Todd Phillips, Scott Silver,, Greta Gerwig,, Anthony McCarten,, Rian Johnson,, Noah Baumbach,, Sam Mendes and Krysty Wilson-Cairns,, Quentin Tarantino,, Rodrigo Prieto,, Lawrence Sher,, Jarin Blaschke,, Robert Richardson,, Feras Fayyad,, Petra Costa,, Waad Al-Kateab, Edward Watts,, Tamara Kotevska, Ljubo Stefanov,, Meryam Joobeur,, Yves Piat,, Bryan Buckley,, Delphine Girard,, Jan Komasa,, Tamara Kotevska, Ljubo Stefanov,, Ladj Ly,, Pedro Almodovar,, Thelma Schoonmaker,, Tom Eagles,, Jeff Groth,, Jinmo Yang,, Alan Robert Murray,, Oliver Tarney, Rachel Tate,, Wylie Stateman,, Matthew Wood, David Acord,, Bob Shaw and Regina Graves,, Ra Vincent and Nora Sopkova,, Dennis Gassner and Lee Sandales,, Lee Ha-Jun and Cho Won Woo, Han Ga Ram, and Cho Hee,, Alexandre Desplat,, Randy Newman,, Thomas Newman,, John Williams,“I Can’t Let You Throw Yourself Away,” ,“I’m Standing With You,” ,“Into the Unknown,” ,“Stand Up,” ,, Sandy Powell, Christopher Peterson,, Mayes C. Rubeo,, Mark Bridges,, Arianne Phillips"
Saturday Night Live is returning this weekend with remote sketches,"
          Apr  9, 2020,  3:09pm EDT
        ",Julia Alexander,"adheres to a couple of basic principles: the show is shot in front of a live studio audience at 30 Rockefeller Plaza, and the cast works together to produce sketches for the weekly show. Since that’s impossible right now because of circumstances surrounding the pandemic, ,is going to try to make history by producing an entire episode remotely.,This week’s show will feature sketches from cast members and a version of “Weekend Update,” which is hosted by head co-writers Colin Jost and Michael Che. It’s unclear how much of the show will be live or if everything will be prerecorded from cast members’ homes, ,. A large portion of ,includes digital sketches that are prerecorded ahead of time, and these air in between live sketches. So it’s not as if ,is going from 100 percent live to entirely prerecorded. ,The episode will not have a host, ,, and we don’t know if a musical guest will perform. ,is far from the first late-night show to switch to a digital remote format since the pandemic hit the United States. Jimmy Fallon, Jimmy Kimmel, Seth Meyers, Stephen Colbert, Conan O’Brien, Trevor Noah, and Hasan Minhaj have also ,. The late-night shows have also featured guest interviews (shot over videoconferencing tools like Zoom or FaceTime). ,But ,is an entirely different beast. The show’s comedy is reliant on sketches featuring multiple people and a live audience reacting in real time. It’s very much a collaborative effort. Whereas late-night hosts can include ,, ,’s team will have to reformat everything. ,The new episode is considered a one-off for NBC right now, according to ,, but that could change. It will air during its usual time slot at 11:30PM ET on NBC. "
"Parasite wins Best Picture, making Oscar history ","
          Feb  9, 2020, 11:26pm EST
        ",Julia Alexander,"ended its award show sweep this season by taking home Best Picture, making it the first non-English speaking film to win the Academy’s most prestigious award. ,Bong Joon-ho’s movie about a lower-income family who infiltrates a wealthy household, only to learn a much darker secret, has led the awards season. The , for writer and director Bong during the evening including Best Screenplay, Best Director, and Best International Feature Film. Although the cast wasn’t recognized individually, they were awarded the SAG award for Best Performance by an Ensemble Cast in a film. ,is also the first film from a South Korean director to win the Best Picture, and the first with a primarily Asian cast. ,beat out ,and ,in the process. ,“I’m ready to drink tonight,” he joked on stage. ,Only 11 other non-English speaking movies were previously nominated for Best Picture, including including ,and,was also the first non-English speaking film from a streamer to earn the top nomination. Although it lost in that category, it did win in the Best Foreign Film category, which has since been renamed to Best International Feature Film. ,It’s been a wild ride for Bong, who has reiterated in multiple interviews that he didn’t expect the level of fandom around , that has sprouted up. His collective of fans — , — have championed his movie throughout the award show season, designing t-shirts and hosting special screenings. For Bong, the awards are a reminder to audiences that international films are important to discover and devour. ,“Once you overcome the one-inch tall barrier of subtitles, you will be introduced to so many more amazing films,” he , after winning the award for best foreign-language film. ,made Oscar history tonight with its win, but if Bong Joon-ho gets what he wants, it’ll be the first of many non-English speaking films to earn the Academy’s biggest prize. "
Narcos: Mexico is a show for people who want the drug war to last forever,"
          Feb 14, 2020,  3:34pm EST
        ",Joshua Rivera,"started as a show about Pablo Escobar, a real-life gangster who outdid even the most outrageous fictional ones. The show built a compelling two-season crime thriller around his astonishing life and death. But while Escobar died, , — a hit that premiered in 2015, when Netflix was rapidly building its streaming empire — needed to go on. A third season followed another Colombian cartel. Then a spinoff, ,, tracked a parallel cartel in Central America. The first season detailed its rise; the second chronicles its fall. If there was any point to all this, it’s become hard to keep track of. The show is too busy following the cocaine., is the story of Mexico’s first drug kingpin, Miguel Ángel Félix Gallardo (Diego Luna). The 10 episodes that premiere this week detail the dramatic implosion of Gallardo’s empire, a collapse that makes for extremely bingeable television. Yet, despite the thrilling spectacle, exhaustion seeps in. Even though it aims at being something more, , doesn’t seem to have ambitions far beyond those of the criminals it follows, pushing more product. ,The second season of , wants to make a point about consequences, at least on a surface level. The collapse of Gallardo’s empire stems directly from brash actions taken during his ascent — most directly, the murder of DEA agent Kiki Camarena (Michael Peña), which sends agent Walt Breslin on a reckless mission of retribution. There are also bridges burned along the way, friendships set ablaze to use as fuel for ambition that leave many eager to see Gallardo out of power. ,Throughout, , occasionally makes overtures at the grander significance of the story it’s telling. Across 10 episodes, Gallardo’s desperate maneuvers to retain control of his business and stick it to those who have slighted him have consequences that reverberate beyond the criminal underworld, ultimately resulting in a rigged presidential election. “Sound familiar?” the show’s narrator winks. ,There is a long series of assumptions in this, ideas that have been present in , from the start, even as it occasionally paid lip service to their subversion: that Central and South American nations are lawless playgrounds for the corrupt, where prosperity can only be seized by crooks and violence reigns. Every now and then , does its diligence to complicate this picture, almost entirely via narration: a tossed off line that notes the Mexican and Colombian drug trades exist wholly to serve the appetites of the wealthy in the US and Europe, or another about the fundamentally destabilizing influence of the United States’ foreign policy that created problems in exchange for the glow up of “solving” them. ,The actual moral universe of the show is far simpler: dope dealers deserve whatever’s coming to them, the bad guys often win, and the good guys should be able to do whatever it takes to stop them. , can’t truly complicate itself any further because doing so would acknowledge that all these stories are the same story, and in telling them, the show becomes complicit. Midway through the first season of ,, Gallardo (Diego Luna) leaves his native country for a secret meeting in South America. In a moment that’s designed to be a big surprise for longtime , fans, Pablo Escobar (Wagner Moura) is waiting for him. ,“I’ve always sort of seen this as of the Marvel superhero universe of connecting narcotraffickers, and that they all coexist,” showrunner Eric Newman , not long after the season premiered in 2018. It’s a crass way of describing the dynamics at play in these stories of cartels and corruption, but also a very American one. The gringos, as the Mexicans doing the dirty work for the cartel bosses say, always want more. And what better expression of “more” is there than the excesses of the modern cinematic universe? ,This is how , has carried on, and how it will carry on if it continues its run. Just as , harkened back to , with a well-deployed Escobar cameo depicting a meeting that likely never happened in the real world, the show continues to hint at the ways it will sprawl outward and continue telling these kinds of stories now that it has exhausted the drama of Gallardo’s Federation. It’s not subtle about it either, making sure in its first season that you know Gallardo’s driver Joaquín Guzmán goes by “Chapo” and spending a considerable amount of time this season laying the groundwork for rivalries that he will carry into the future, for what will be one of the most prolonged conflicts in the history of Mexico’s drug war. ,You could tell this story indefinitely, because it is still being told today, with every story of a white person enraged at the sound of Spanish being spoken, with every ICE raid, with every chant for the wall. Cartel dramas like , are fairy tales for a nation in decline, flattening diverse and complicated countries for the benefit of a nation that refuses to acknowledge the havoc it has wreaked on the world. "
